bvid,arcurl,title,pubdate,rank_offset,author,mid,play,review,video_review,favorites,duration,tag,description
BV1K4411x79K,http://www.bilibili.com/video/av53688821,【MUGEN人物对战】（黑白Kv2篇）,2019-05-26 20:11:27,968,诸时信,82174467,353,3,3,5,1671,"MUGEN,单机游戏,狂级,新人,十割,MUGEN人物对战,原创,凶级,黑白,画质测试","不要问我为什么封面不是黑白的，因为那幅图的作者没回我emmm，所以我就只能等了
------------------------------------------
人物：黑白Kv2/K-BWv2
作者：阿修.克里门森（已退坑）
黑白Kv2的制作原因是因为旧黑白的演出太差所以开始完全重制，该人物的基础模型为kill，基础人物为中文功夫男
2017-03-19阿修进入了千寻，2017-03-21就开始制作人物（emmmmm，感觉有点不对）
2018-07-06，阿修退坑（随后那个男人回来了(￣ー￣)emmm"
BV1S441157vL,http://www.bilibili.com/video/av53253512,手机mugen  有知道最后那个问题的麻烦教下我,2019-05-22 16:24:35,969,快乐社会哈,12077142,353,6,1,0,469,"MUGEN,狂级,拳皇",没有简介
BV1q4411J74C,http://www.bilibili.com/video/av52645997,[MUGEN]人物对战：血炎八神vs血炎草薙京,2019-05-16 19:10:53,970,MYC丶love,296086345,352,5,0,2,148,"MUGEN,AI,新人","MUGEN人物对战：血草VS血八 攻击60 
我们来适当练习一下=。="
BV1p4411s7as,http://www.bilibili.com/video/av53544013,【mugen】鹤熙杯1p——此刻，用太阳，点亮大地,2019-05-25 16:35:44,971,PossibleCreat清静,392221048,351,8,31,3,1922,"MUGEN,杯赛,拳皇,狂级,凶级,KOF,单机游戏","剧情篇暂时停更，也许杯赛里会出现剧情
不知道会做到多少p
因为没有安排，就在暑假开始前提前开赛——周更（周六、周日不定）
-------------------------------------------------------------------------
后期可能会安排新人物乱入
正在尝试制作人物（八神系列）
-------------------------------------------------------------------------
想看上一篇点击视频右上角我的头像就可"
BV1w4411a7nL,http://www.bilibili.com/video/av52255372,[Mugen]同作者内斗战(魔王篇与ZET篇)布莱克：话说对面人好像比我们多啊。魂印：你怎么这么多话我先溜了。狂神盛宴！,2019-05-13 09:45:43,972,夜夜夜子i,342701990,351,9,0,3,877,"全勤挑战,MUGEN,同作者内斗战,新人向,狂级,神级","相关游戏：Mugen
登场人物：诺亚·布莱克&amp;魂之印记归来&amp;元素吞噬者&amp;苍白の抹消者Nao&amp;夏娜&amp;姬柊雪菜&amp;Boss经理&amp;Boss少爷&amp;蝙蝠侠&amp;织田信长
人物BGM：
①Lost Control (Original Mix)
②Higher
③Hall of Fame
④Numb

请勿恶意攻击人物、作者以及AI
请勿在弹幕、评论区发送引战或带有侮辱性的言论
谢谢您的配合与支持！

如果喜欢本期视频别忘记点个素质三连＋关注呀，我们下期视频再见啦！"
BV1c4411e7dg,http://www.bilibili.com/video/av52120041,【MUGEN】阿里曼 vs 不死亡灵,2019-05-11 14:55:06,973,严穆歌1234,390666689,349,3,0,1,252,"MUGEN,拳皇,【MUGEN】阿里曼 vs 不死亡灵,阿里曼,不死亡灵",【MUGEN】阿里曼 vs 不死亡灵
BV1D4411H7jC,http://www.bilibili.com/video/av54129997,【洛克人MUGEN】ZERO（Fusion）VS 梦魇ZERO【我 打 我 自 己 警 告】,2019-05-31 13:09:50,974,異能異色的巴萨卡,89592005,347,2,0,4,239,"MUGEN,洛克人X,BOSS战,ZERO,梦魇ZERO","我 打 我 自 己
又名：真货 VS 假货"
BV194411h76s,http://www.bilibili.com/video/av52231509,【MUGEN】喜闻乐见作品娱乐对战【盗号之仇】,2019-05-12 13:23:17,975,北斗有情蓝蓝路,689576,347,5,24,3,254,"MUGEN,正常向,强凶,凡人的MUGEN,蓝蓝路","相关游戏: 月华剑士、大番长、EFZ、侍魂、KOF、DNF、月姬、街霸、N+、鬼泣、NBC、MVC、龙吼、北斗の拳、JOJOの奇妙冒险、东方、战国BASARA、GGXX、饿狼传说、Fgo、苍翼默示录、龙虎之拳、电击文库、机动战士高达等
【我要让更多人知道：MUGEN不是只有拳皇！】"
BV1D4411H7Bk,http://www.bilibili.com/video/av54129292,【KOFM SK HD】手操对决Play - 风衣八神庵KILL VS 八神X,2019-05-31 13:06:56,976,武圣拳尊347,10293554,346,3,0,6,486,"MUGEN,手操,KOFM LV2",BGM：彩音 ~xi-on~ - Scarlet Chain
BV1G4411e7HU,http://www.bilibili.com/video/av52150962,【MUGEN】安格斯对战释渊,2019-05-11 20:03:24,977,麦考瑞-加文,297934348,346,2,0,3,227,"MUGEN,狂级,十割,格斗",
